Tournament, Gender, Date,Round,Player 1,Player 2,Score,Winner
London Open 2024,Women's,07 Nov 2024 • 19:00,Round 2,Lowri Roberts,Anna Serme,"3-1, 11-9, 9-11, 11-9, 11-3, ---",Lowri Roberts
London Open 2024,Women's,07 Nov 2024 • 20:00,Round 2,Alison Thomson,Sarahi Lopez,"2-3, 7-11, 10-12, 11-9, 11-9, 6-11",Sarahi Lopez
London Open 2024,Women's,07 Nov 2024 • 21:00,Round 2,Kiera Marshall,Haya Ali,"3-1, 9-11, 11-8, 11-7, 11-5, ---",Kiera Marshall
London Open 2024,Women's,-,Round 1,Millie Tomlinson,BYE,"---, ---, ---, ---, ---, ---",BYE
London Open 2024,Women's,06 Nov 2024 • 14:00,Round 1,Isabel McCullough,Tanvi Khanna,"1-3, 3-11, 10-12, 11-6, 7-11, ---",Tanvi Khanna
London Open 2024,Women's,06 Nov 2024 • 15:00,Round 1,Jacqueline Peychär,Ali Loke,"3-1, 11-5, 11-4, 6-11, 11-8, ---",Jacqueline Peychär
London Open 2024,Women's,-,Round 1,BYE,Sarah Cardwell,"---, ---, ---, ---, ---, ---",Sarah Cardwell
London Open 2024,Women's,-,Round 1,Asia Harris,BYE,"---, ---, ---, ---, ---, ---",BYE
London Open 2024,Women's,06 Nov 2024 • 16:00,Round 1,Colette Sultana,Margot Prow,"0-3, 6-11, 9-11, 3-11, ---, ---",Margot Prow
London Open 2024,Women's,06 Nov 2024 • 17:00,Round 1,Hana Ismail,Sophie Fadaely,"3-0, 11-7, 13-11, 12-10, ---, ---",Hana Ismail
London Open 2024,Women's,-,Round 1,BYE,Cristina Gomez,"---, ---, ---, ---, ---, ---",Cristina Gomez
London Open 2024,Women's,-,Round 1,Nardine Garas,BYE,"---, ---, ---, ---, ---, ---",BYE
London Open 2024,Women's,06 Nov 2024 • 18:00,Round 1,Jasmine Thirst,Michaela Čepová,"0-3, 6-11, 2-11, 4-11, ---, ---",Michaela Čepová
London Open 2024,Women's,06 Nov 2024 • 19:00,Round 1,Lowri Roberts,Lea Barbeau,"3-0, 11-7, 11-4, 11-7, ---, ---",Lowri Roberts
London Open 2024,Women's,-,Round 1,BYE,Anna Serme,"---, ---, ---, ---, ---, ---",Anna Serme
London Open 2024,Women's,-,Round 1,Alison Thomson,BYE,"---, ---, ---, ---, ---, ---",BYE
London Open 2024,Women's,06 Nov 2024 • 20:00,Round 1,Sarahi Lopez,Katerina Tycova,"3-1, 8-11, 11-8, 11-6, 11-8, ---",Sarahi Lopez
London Open 2024,Women's,06 Nov 2024 • 21:00,Round 1,Kiera Marshall,Mary Mijas,"3-0, 11-3, 11-2, 11-3, ---, ---",Kiera Marshall
London Open 2024,Women's,-,Round 1,BYE,Haya Ali,"---, ---, ---, ---, ---, ---",Haya Ali
Monte Carlo Classic 2024,Women's,15 Nov 2024 • 19:00,Final,Sarah-Jane Perry,Tesni Murphy,"0-3, 9-11, 9-11, 10-12, ---, ---",Tesni Murphy
Monte Carlo Classic 2024,Women's,14 Nov 2024 • 19:00,Semi final,Sarah-Jane Perry,Joshna Chinappa,"3-1, 11-8, 11-7, 4-11, 14-12, ---",Sarah-Jane Perry
Monte Carlo Classic 2024,Women's,14 Nov 2024 • 18:00,Semi final,Tesni Murphy,Lucy Turmel,"3-1, 8-11, 11-7, 11-4, 11-7, ---",Tesni Murphy
Monte Carlo Classic 2024,Women's,13 Nov 2024 • 19:45,Quarter final,Sarah-Jane Perry,Emilia Soini,"3-0, 11-7, 11-4, 11-4, ---, ---",Sarah-Jane Perry
Monte Carlo Classic 2024,Women's,13 Nov 2024 • 19:00,Quarter final,Alicia Mead,Joshna Chinappa,"0-3, 5-11, 4-11, 3-11, ---, ---",Joshna Chinappa
Monte Carlo Classic 2024,Women's,13 Nov 2024 • 17:00,Quarter final,Tesni Murphy,Hana Ramadan,"3-0, 11-8, 11-6, 11-7, ---, ---",Tesni Murphy
Monte Carlo Classic 2024,Women's,13 Nov 2024 • 17:45,Quarter final,Hana Ismail,Lucy Turmel,"2-3, 4-11, 11-9, 6-11, 11-8, 7-11",Lucy Turmel
Monte Carlo Classic 2024,Women's,12 Nov 2024 • 19:15,Round 2,Sarah-Jane Perry,Ali Loke,"3-1, 11-3, 7-11, 11-6, 11-3, ---",Sarah-Jane Perry
Monte Carlo Classic 2024,Women's,12 Nov 2024 • 18:30,Round 2,Hayley Ward,Emilia Soini,"0-3, 5-11, 3-11, 9-11, ---, ---",Emilia Soini
Monte Carlo Classic 2024,Women's,12 Nov 2024 • 17:00,Round 2,Alicia Mead,Lowri Roberts,"3-0, 11-4, 12-10, 11-7, ---, ---",Alicia Mead
Monte Carlo Classic 2024,Women's,12 Nov 2024 • 17:45,Round 2,Joshna Chinappa,Melissa Alves,"3-2, 4-11, 11-5, 11-9, 9-11, 11-7",Joshna Chinappa
Monte Carlo Classic 2024,Women's,12 Nov 2024 • 17:45,Round 2,Tesni Murphy,Saskia Beinhard,"3-0, 11-5, 11-5, 11-8, ---, ---",Tesni Murphy
Monte Carlo Classic 2024,Women's,12 Nov 2024 • 17:00,Round 2,Tanvi Khanna,Hana Ramadan,"0-3, 7-11, 8-11, 5-11, ---, ---",Hana Ramadan
Monte Carlo Classic 2024,Women's,12 Nov 2024 • 19:15,Round 2,Enora Villard,Hana Ismail,"1-3, 6-11, 6-11, 11-3, 11-13, ---",Hana Ismail
Monte Carlo Classic 2024,Women's,12 Nov 2024 • 18:30,Round 2,Millie Tomlinson,Lucy Turmel,"0-3, 6-11, 5-11, 6-11, ---, ---",Lucy Turmel
Monte Carlo Classic 2024,Women's,-,Round 1,Sarah-Jane Perry,BYE,"---, ---, ---, ---, ---, ---",BYE
Monte Carlo Classic 2024,Women's,11 Nov 2024 • 17:00,Round 1,Elise Romba,Ali Loke,"0-3, 9-11, 9-11, 4-11, ---, ---",Ali Loke
Monte Carlo Classic 2024,Women's,11 Nov 2024 • 17:45,Round 1,Alison Thomson,Hayley Ward,"0-3, 9-11, 5-11, 4-11, ---, ---",Hayley Ward
Monte Carlo Classic 2024,Women's,-,Round 1,BYE,Emilia Soini,"---, ---, ---, ---, ---, ---",Emilia Soini
Monte Carlo Classic 2024,Women's,-,Round 1,Alicia Mead,BYE,"---, ---, ---, ---, ---, ---",BYE
Monte Carlo Classic 2024,Women's,11 Nov 2024 • 18:45,Round 1,Jacqueline Peychär,Lowri Roberts,"2-3, 11-7, 8-11, 11-9, 2-11, 5-11",Lowri Roberts
Monte Carlo Classic 2024,Women's,11 Nov 2024 • 19:30,Round 1,Joshna Chinappa,Katerina Tycova,"3-0, 11-8, 11-4, 11-5, ---, ---",Joshna Chinappa
Monte Carlo Classic 2024,Women's,-,Round 1,BYE,Melissa Alves,"---, ---, ---, ---, ---, ---",Melissa Alves
Monte Carlo Classic 2024,Women's,-,Round 1,Tesni Murphy,BYE,"---, ---, ---, ---, ---, ---",BYE
Monte Carlo Classic 2024,Women's,11 Nov 2024 • 17:15,Round 1,Sophie Fadaely,Saskia Beinhard,"0-3, 2-11, 4-11, 9-11, ---, ---",Saskia Beinhard
Monte Carlo Classic 2024,Women's,11 Nov 2024 • 18:00,Round 1,Lauren Baltayan,Tanvi Khanna,"0-3, 9-11, 7-11, 10-12, ---, ---",Tanvi Khanna
Monte Carlo Classic 2024,Women's,-,Round 1,BYE,Hana Ramadan,"---, ---, ---, ---, ---, ---",Hana Ramadan
Monte Carlo Classic 2024,Women's,-,Round 1,Enora Villard,BYE,"---, ---, ---, ---, ---, ---",BYE
Monte Carlo Classic 2024,Women's,11 Nov 2024 • 19:00,Round 1,Margot Prow,Hana Ismail,"0-3, 4-11, 5-11, 9-11, ---, ---",Hana Ismail
Monte Carlo Classic 2024,Women's,11 Nov 2024 • 19:45,Round 1,Millie Tomlinson,Wai Yhann Au Yeong,"3-2, 11-6, 9-11, 8-11, 11-5, 11-5",Millie Tomlinson
Monte Carlo Classic 2024,Women's,-,Round 1,BYE,Lucy Turmel,"---, ---, ---, ---, ---, ---",Lucy Turmel
Ace Malaysia Squash Cup 2024,Men's,17 Nov 2024 • 16:00,Final,Youssef Soliman,Eain Yow Ng,"0-3, 7-11, 7-11, 7-11, ---, ---",Eain Yow Ng
Ace Malaysia Squash Cup 2024,Men's,16 Nov 2024 • 14:45,Semi final,Youssef Soliman,Youssef Ibrahim,"3-2, 11-8, 8-11, 11-9, 8-11, 11-6",Youssef Soliman
Ace Malaysia Squash Cup 2024,Men's,16 Nov 2024 • 16:15,Semi final,Abhay Singh,Eain Yow Ng,"1-3, 5-11, 4-11, 11-7, 4-11, ---",Eain Yow Ng
Ace Malaysia Squash Cup 2024,Men's,15 Nov 2024 • 14:15,Quarter final,Youssef Soliman,Ramit Tandon,"3-1, 11-9, 7-11, 11-8, 11-7, ---",Youssef Soliman
Ace Malaysia Squash Cup 2024,Men's,15 Nov 2024 • 12:45,Quarter final,Juan Vargas,Youssef Ibrahim,"1-3, 6-11, 11-6, 8-11, 3-11, ---",Youssef Ibrahim
Ace Malaysia Squash Cup 2024,Men's,15 Nov 2024 • 18:15,Quarter final,Abhay Singh,Velavan Senthilkumar,"3-1, 12-14, 11-5, 12-10, 11-8, ---",Abhay Singh
Ace Malaysia Squash Cup 2024,Men's,15 Nov 2024 • 16:45,Quarter final,Bernat Jaume,Eain Yow Ng,"0-3, 7-11, 8-11, 8-11, ---, ---",Eain Yow Ng
Ace Malaysia Squash Cup 2024,Men's,13 Nov 2024 • 16:45,Round 2,Youssef Soliman,Ryunosuke Tsukue,"3-1, 11-7, 11-4, 4-11, 11-8, ---",Youssef Soliman
Ace Malaysia Squash Cup 2024,Men's,13 Nov 2024 • 18:15,Round 2,Yahya Elnawasany,Ramit Tandon,"1-3, 5-11, 12-14, 11-5, 4-11, ---",Ramit Tandon
Ace Malaysia Squash Cup 2024,Men's,13 Nov 2024 • 12:45,Round 2,Juan Vargas,Aly Hussein,"3-1, 11-6, 9-11, 11-6, 11-6, ---",Juan Vargas
Ace Malaysia Squash Cup 2024,Men's,13 Nov 2024 • 14:15,Round 2,Alex Lau,Youssef Ibrahim,"0-3, 6-11, 8-11, 6-11, ---, ---",Youssef Ibrahim
Ace Malaysia Squash Cup 2024,Men's,14 Nov 2024 • 14:15,Round 2,Abdulla Al-Tamimi,Abhay Singh,"2-3, 8-11, 11-7, 5-11, 11-8, 5-11",Abhay Singh
Ace Malaysia Squash Cup 2024,Men's,14 Nov 2024 • 12:45,Round 2,Velavan Senthilkumar,Balazs Farkas,"3-0, 11-6, 11-6, 11-7, ---, ---",Velavan Senthilkumar
Ace Malaysia Squash Cup 2024,Men's,14 Nov 2024 • 18:15,Round 2,Bernat Jaume,Rui Soares,"3-0, 17-15, 11-5, 12-10, ---, ---",Bernat Jaume
Ace Malaysia Squash Cup 2024,Men's,14 Nov 2024 • 16:45,Round 2,Shahjahan Khan,Eain Yow Ng,"0-3, 5-11, 8-11, 2-11, ---, ---",Eain Yow Ng
Ace Malaysia Squash Cup 2024,Men's,-,Round 1,Youssef Soliman,BYE,"---, ---, ---, ---, ---, ---",BYE
Ace Malaysia Squash Cup 2024,Men's,12 Nov 2024 • 14:15,Round 1,Ben Smith,Ryunosuke Tsukue,"1-3, 11-8, 4-11, 9-11, 2-11, ---",Ryunosuke Tsukue
Ace Malaysia Squash Cup 2024,Men's,12 Nov 2024 • 14:15,Round 1,Yahya Elnawasany,Muhammad Asim Khan,"3-0, 11-9, 11-8, 11-4, ---, ---",Yahya Elnawasany
Ace Malaysia Squash Cup 2024,Men's,-,Round 1,BYE,Ramit Tandon,"---, ---, ---, ---, ---, ---",Ramit Tandon
Ace Malaysia Squash Cup 2024,Men's,-,Round 1,Juan Vargas,BYE,"---, ---, ---, ---, ---, ---",BYE
Ace Malaysia Squash Cup 2024,Men's,12 Nov 2024 • 12:45,Round 1,Aly Hussein,Henry Leung,"3-1, 11-8, 4-11, 11-7, 11-5, ---",Aly Hussein
Ace Malaysia Squash Cup 2024,Men's,12 Nov 2024 • 12:45,Round 1,Alex Lau,Ibrahim Elkabbani,"3-2, 11-13, 11-3, 8-11, 11-5, 11-7",Alex Lau
Ace Malaysia Squash Cup 2024,Men's,-,Round 1,BYE,Youssef Ibrahim,"---, ---, ---, ---, ---, ---",Youssef Ibrahim
Ace Malaysia Squash Cup 2024,Men's,-,Round 1,Abdulla Al-Tamimi,BYE,"---, ---, ---, ---, ---, ---",BYE
Ace Malaysia Squash Cup 2024,Men's,12 Nov 2024 • 18:15,Round 1,Sanjay Jeeva,Abhay Singh,"0-3, 8-11, 5-11, 6-11, ---, ---",Abhay Singh
Ace Malaysia Squash Cup 2024,Men's,12 Nov 2024 • 16:45,Round 1,Velavan Senthilkumar,Ameeshenraj Chandaran,"3-0, 11-3, 11-6, 11-1, ---, ---",Velavan Senthilkumar
Ace Malaysia Squash Cup 2024,Men's,-,Round 1,BYE,Balazs Farkas,"---, ---, ---, ---, ---, ---",Balazs Farkas
Ace Malaysia Squash Cup 2024,Men's,-,Round 1,Bernat Jaume,BYE,"---, ---, ---, ---, ---, ---",BYE
Ace Malaysia Squash Cup 2024,Men's,12 Nov 2024 • 18:15,Round 1,Addeen Idrakie,Rui Soares,"1-3, 5-11, 8-11, 11-9, 4-11, ---",Rui Soares
Ace Malaysia Squash Cup 2024,Men's,12 Nov 2024 • 16:45,Round 1,Shahjahan Khan,Mohammad Syafiq Kamal,"3-2, 7-11, 11-2, 6-11, 12-10, 11-7",Shahjahan Khan
Ace Malaysia Squash Cup 2024,Men's,-,Round 1,BYE,Eain Yow Ng,"---, ---, ---, ---, ---, ---",Eain Yow Ng
Ace Malaysia Squash Cup 2024,Women's,17 Nov 2024 • 15:00,Final,Sivasangari Subramaniam,Amina Orfi,"2-3, 11-8, 9-11, 10-12, 11-8, 6-11",Amina Orfi
Ace Malaysia Squash Cup 2024,Women's,16 Nov 2024 • 14:00,Semi final,Sivasangari Subramaniam,Georgia Adderley,"3-0, 11-3, 11-8, 11-6, ---, ---",Sivasangari Subramaniam
Ace Malaysia Squash Cup 2024,Women's,16 Nov 2024 • 15:30,Semi final,Rachel Arnold,Amina Orfi,"0-3, 10-12, 9-11, 6-11, ---, ---",Amina Orfi
Ace Malaysia Squash Cup 2024,Women's,15 Nov 2024 • 13:30,Quarter final,Sivasangari Subramaniam,Aifa Azman,"3-0, 11-9, 11-3, 11-6, ---, ---",Sivasangari Subramaniam
Ace Malaysia Squash Cup 2024,Women's,15 Nov 2024 • 12:00,Quarter final,Aira Azman,Georgia Adderley,"1-3, 4-11, 7-11, 13-11, 7-11, ---",Georgia Adderley
Ace Malaysia Squash Cup 2024,Women's,15 Nov 2024 • 17:30,Quarter final,Rachel Arnold,Katie Malliff,"3-1, 3-11, 11-2, 13-11, 13-11, ---",Rachel Arnold
Ace Malaysia Squash Cup 2024,Women's,15 Nov 2024 • 16:00,Quarter final,Kenzy Ayman,Amina Orfi,"0-3, 6-11, 2-11, 5-11, ---, ---",Amina Orfi
Ace Malaysia Squash Cup 2024,Women's,13 Nov 2024 • 16:00,Round 2,Sivasangari Subramaniam,Nour Heikal,"3-0, 11-4, 11-5, 11-9, ---, ---",Sivasangari Subramaniam
Ace Malaysia Squash Cup 2024,Women's,13 Nov 2024 • 17:30,Round 2,Cristina Gomez,Aifa Azman,"0-3, 4-11, 4-11, 4-11, ---, ---",Aifa Azman
Ace Malaysia Squash Cup 2024,Women's,13 Nov 2024 • 12:00,Round 2,Aira Azman,Sarah Cardwell,"3-1, 11-6, 9-11, 11-4, 11-4, ---",Aira Azman
Ace Malaysia Squash Cup 2024,Women's,13 Nov 2024 • 13:30,Round 2,Nga Ching Cheng,Georgia Adderley,"0-3, 2-11, 7-11, 6-11, ---, ---",Georgia Adderley
Ace Malaysia Squash Cup 2024,Women's,14 Nov 2024 • 16:00,Round 2,Rachel Arnold,Ainaa Amani,"3-0, 11-7, 11-4, 11-5, ---, ---",Rachel Arnold
Ace Malaysia Squash Cup 2024,Women's,14 Nov 2024 • 17:30,Round 2,Marta Dominguez,Katie Malliff,"0-3, 12-14, 5-11, 6-11, ---, ---",Katie Malliff
Ace Malaysia Squash Cup 2024,Women's,14 Nov 2024 • 12:00,Round 2,Kenzy Ayman,Ka Yi Lee,"3-0, 11-5, 11-5, 11-8, ---, ---",Kenzy Ayman
Ace Malaysia Squash Cup 2024,Women's,14 Nov 2024 • 13:30,Round 2,Jessica van der Walt,Amina Orfi,"0-3, 4-11, 3-11, 5-11, ---, ---",Amina Orfi
Ace Malaysia Squash Cup 2024,Women's,-,Round 1,Sivasangari Subramaniam,BYE,"---, ---, ---, ---, ---, ---",BYE
Ace Malaysia Squash Cup 2024,Women's,12 Nov 2024 • 13:30,Round 1,Akanksha Salunkhe,Nour Heikal,"2-3, 9-11, 7-11, 18-16, 11-9, 6-11",Nour Heikal
Ace Malaysia Squash Cup 2024,Women's,12 Nov 2024 • 13:30,Round 1,Nour Megahed,Cristina Gomez,"2-3, 11-9, 7-11, 11-7, 4-11, 9-11",Cristina Gomez
Ace Malaysia Squash Cup 2024,Women's,-,Round 1,BYE,Aifa Azman,"---, ---, ---, ---, ---, ---",Aifa Azman
Ace Malaysia Squash Cup 2024,Women's,-,Round 1,Aira Azman,BYE,"---, ---, ---, ---, ---, ---",BYE
Ace Malaysia Squash Cup 2024,Women's,12 Nov 2024 • 12:00,Round 1,Sarah Cardwell,Tsz-Wing Tong,"3-0, 11-8, 11-8, 11-9, ---, ---",Sarah Cardwell
Ace Malaysia Squash Cup 2024,Women's,12 Nov 2024 • 12:00,Round 1,Nga Ching Cheng,Yu Jie Chen,"3-0, 13-11, 11-9, 11-8, ---, ---",Nga Ching Cheng
Ace Malaysia Squash Cup 2024,Women's,-,Round 1,BYE,Georgia Adderley,"---, ---, ---, ---, ---, ---",Georgia Adderley
Ace Malaysia Squash Cup 2024,Women's,-,Round 1,Rachel Arnold,BYE,"---, ---, ---, ---, ---, ---",BYE
Ace Malaysia Squash Cup 2024,Women's,12 Nov 2024 • 16:00,Round 1,Yasshmita Jadish Kumar,Ainaa Amani,"0-3, 8-11, 1-11, 8-11, ---, ---",Ainaa Amani
Ace Malaysia Squash Cup 2024,Women's,12 Nov 2024 • 17:30,Round 1,Marta Dominguez,Sehveetrraa Kumar,"3-2, 11-13, 7-11, 11-6, 11-4, 16-14",Marta Dominguez
Ace Malaysia Squash Cup 2024,Women's,-,Round 1,BYE,Katie Malliff,"---, ---, ---, ---, ---, ---",Katie Malliff
Ace Malaysia Squash Cup 2024,Women's,-,Round 1,Kenzy Ayman,BYE,"---, ---, ---, ---, ---, ---",BYE
Ace Malaysia Squash Cup 2024,Women's,12 Nov 2024 • 16:00,Round 1,Goh Zhi Xuan,Ka Yi Lee,"0-3, 7-11, 4-11, 6-11, ---, ---",Ka Yi Lee
Ace Malaysia Squash Cup 2024,Women's,12 Nov 2024 • 17:30,Round 1,Jessica van der Walt,Nadia Pfister,"3-0, 11-5, 11-7, 11-7, ---, ---",Jessica van der Walt
Ace Malaysia Squash Cup 2024,Women's,-,Round 1,BYE,Amina Orfi,"---, ---, ---, ---, ---, ---",Amina Orfi
Vitagen Singapore Squash Open 2024,Men's,24 Nov 2024 • 15:45,Final,Ali Farag,Diego Elias,"3-2, 6-11, 7-11, 11-8, 11-1, 11-4",Ali Farag
Vitagen Singapore Squash Open 2024,Men's,23 Nov 2024 • 14:45,Semi final,Ali Farag,Eain Yow Ng,"3-1, 13-11, 11-6, 9-11, 11-6, ---",Ali Farag
Vitagen Singapore Squash Open 2024,Men's,23 Nov 2024 • 17:45,Semi final,Diego Elias,Paul Coll,"3-2, 5-11, 6-11, 11-7, 11-4, 11-3",Diego Elias
Vitagen Singapore Squash Open 2024,Men's,22 Nov 2024 • 17:45,Quarter final,Ali Farag,Balazs Farkas,"3-0, 11-5, 11-4, 12-10, ---, ---",Ali Farag
Vitagen Singapore Squash Open 2024,Men's,22 Nov 2024 • 12:45,Quarter final,Eain Yow Ng,Victor Crouin,"3-2, 9-11, 12-10, 11-1, 6-11, 20-18",Eain Yow Ng
Vitagen Singapore Squash Open 2024,Men's,22 Nov 2024 • 14:30,Quarter final,Diego Elias,Mohamad Zakaria,"3-0, 11-2, 11-7, 11-4, ---, ---",Diego Elias
Vitagen Singapore Squash Open 2024,Men's,22 Nov 2024 • 19:30,Quarter final,Youssef Ibrahim,Paul Coll,"1-3, 5-11, 2-11, 11-8, 12-14, ---",Paul Coll
Vitagen Singapore Squash Open 2024,Men's,20 Nov 2024 • 19:30,Round 2,Ali Farag,Alex Lau,"3-0, 11-3, 11-4, 11-6, ---, ---",Ali Farag
Vitagen Singapore Squash Open 2024,Men's,20 Nov 2024 • 17:45,Round 2,Balazs Farkas,Fares Dessouky,"3-2, 6-11, 12-10, 6-11, 11-5, 12-10",Balazs Farkas
Vitagen Singapore Squash Open 2024,Men's,20 Nov 2024 • 12:45,Round 2,Eain Yow Ng,Velavan Senthilkumar,"3-0, 11-4, 11-1, 11-5, ---, ---",Eain Yow Ng
Vitagen Singapore Squash Open 2024,Men's,20 Nov 2024 • 14:30,Round 2,Curtis Malik,Victor Crouin,"1-3, 11-9, 8-11, 5-11, 3-11, ---",Victor Crouin
Vitagen Singapore Squash Open 2024,Men's,21 Nov 2024 • 14:30,Round 2,Diego Elias,Bernat Jaume,"3-0, 11-4, 11-3, 14-12, ---, ---",Diego Elias
Vitagen Singapore Squash Open 2024,Men's,21 Nov 2024 • 12:45,Round 2,Mohamad Zakaria,Sebastien Bonmalais,"3-0, 11-9, 11-9, 11-6, ---, ---",Mohamad Zakaria
Vitagen Singapore Squash Open 2024,Men's,21 Nov 2024 • 19:30,Round 2,Youssef Ibrahim,Omar Mosaad,"3-1, 11-8, 11-3, 10-12, 11-2, ---",Youssef Ibrahim
Vitagen Singapore Squash Open 2024,Men's,21 Nov 2024 • 17:45,Round 2,Juan Vargas,Paul Coll,"1-3, 11-9, 2-11, 4-11, 4-11, ---",Paul Coll
Vitagen Singapore Squash Open 2024,Men's,-,Round 1,Ali Farag,BYE,"---, ---, ---, ---, ---, ---",BYE
Vitagen Singapore Squash Open 2024,Men's,19 Nov 2024 • 18:45,Round 1,Alex Lau,Ramit Tandon,"3-0, 11-9, 11-7, 11-3, ---, ---",Alex Lau
Vitagen Singapore Squash Open 2024,Men's,19 Nov 2024 • 12:00,Round 1,Balazs Farkas,Karim El Hammamy,"3-1, 11-8, 12-10, 5-11, 11-9, ---",Balazs Farkas
Vitagen Singapore Squash Open 2024,Men's,-,Round 1,BYE,Fares Dessouky,"---, ---, ---, ---, ---, ---",Fares Dessouky
Vitagen Singapore Squash Open 2024,Men's,-,Round 1,Eain Yow Ng,BYE,"---, ---, ---, ---, ---, ---",BYE
Vitagen Singapore Squash Open 2024,Men's,19 Nov 2024 • 12:45,Round 1,Velavan Senthilkumar,Leandro Romiglio,"3-0, 11-7, 11-4, 11-2, ---, ---",Velavan Senthilkumar
Vitagen Singapore Squash Open 2024,Men's,19 Nov 2024 • 14:30,Round 1,Curtis Malik,Yahya Elnawasany,"3-0, 11-2, 11-8, 11-4, ---, ---",Curtis Malik
Vitagen Singapore Squash Open 2024,Men's,-,Round 1,BYE,Victor Crouin,"---, ---, ---, ---, ---, ---",Victor Crouin
Vitagen Singapore Squash Open 2024,Men's,-,Round 1,Diego Elias,BYE,"---, ---, ---, ---, ---, ---",BYE
Vitagen Singapore Squash Open 2024,Men's,19 Nov 2024 • 17:00,Round 1,Rory Stewart,Bernat Jaume,"0-3, 9-11, 5-11, 8-11, ---, ---",Bernat Jaume
Vitagen Singapore Squash Open 2024,Men's,19 Nov 2024 • 13:45,Round 1,Mohamad Zakaria,Samuel Kang,"3-0, 11-2, 11-3, 11-3, ---, ---",Mohamad Zakaria
Vitagen Singapore Squash Open 2024,Men's,-,Round 1,BYE,Sebastien Bonmalais,"---, ---, ---, ---, ---, ---",Sebastien Bonmalais
Vitagen Singapore Squash Open 2024,Men's,-,Round 1,Youssef Ibrahim,BYE,"---, ---, ---, ---, ---, ---",BYE
Vitagen Singapore Squash Open 2024,Men's,19 Nov 2024 • 19:30,Round 1,Jerome Aw,Omar Mosaad,"0-3, 9-11, 6-11, 6-11, ---, ---",Omar Mosaad
Vitagen Singapore Squash Open 2024,Men's,19 Nov 2024 • 17:45,Round 1,Henry Leung,Juan Vargas,"2-3, 8-11, 11-7, 11-4, 7-11, 7-11",Juan Vargas
Vitagen Singapore Squash Open 2024,Men's,-,Round 1,BYE,Paul Coll,"---, ---, ---, ---, ---, ---",Paul Coll
Vitagen Singapore Squash Open 2024,Women's,24 Nov 2024 • 15:00,Final,Hania El Hammamy,Amina Orfi,"2-3, 11-9, 9-11, 13-11, 1-11, 9-11",Amina Orfi
Vitagen Singapore Squash Open 2024,Women's,23 Nov 2024 • 14:00,Semi final,Hania El Hammamy,Tinne Gilis,"3-0, 11-7, 11-5, 11-7, ---, ---",Hania El Hammamy
Vitagen Singapore Squash Open 2024,Women's,23 Nov 2024 • 17:00,Semi final,Sivasangari Subramaniam,Amina Orfi,"1-3, 5-11, 6-11, 12-10, 8-11, ---",Amina Orfi
Vitagen Singapore Squash Open 2024,Women's,22 Nov 2024 • 17:00,Quarter final,Hania El Hammamy,Katie Malliff,"3-1, 11-5, 9-11, 11-8, 11-3, ---",Hania El Hammamy
Vitagen Singapore Squash Open 2024,Women's,22 Nov 2024 • 12:00,Quarter final,Sana Ibrahim,Tinne Gilis,"1-3, 5-11, 13-11, 3-11, 5-11, ---",Tinne Gilis
Vitagen Singapore Squash Open 2024,Women's,22 Nov 2024 • 13:45,Quarter final,Sivasangari Subramaniam,Fayrouz Aboelkheir,"3-2, 9-11, 11-3, 7-11, 11-8, 11-2",Sivasangari Subramaniam
Vitagen Singapore Squash Open 2024,Women's,22 Nov 2024 • 18:45,Quarter final,Amina Orfi,Nele Gilis-Coll,"3-0, 11-5, 11-5, 11-3, ---, ---",Amina Orfi
Vitagen Singapore Squash Open 2024,Women's,20 Nov 2024 • 18:45,Round 2,Hania El Hammamy,Aira Azman,"3-0, 12-10, 11-2, 11-5, ---, ---",Hania El Hammamy
Vitagen Singapore Squash Open 2024,Women's,20 Nov 2024 • 17:00,Round 2,Katie Malliff,Tomato Ho,"3-1, 11-3, 12-10, 8-11, 11-5, ---",Katie Malliff
Vitagen Singapore Squash Open 2024,Women's,20 Nov 2024 • 12:00,Round 2,Sana Ibrahim,Salma Eltayeb,"3-0, 11-7, 11-4, 11-3, ---, ---",Sana Ibrahim
Vitagen Singapore Squash Open 2024,Women's,20 Nov 2024 • 13:45,Round 2,Zeina Mickawy,Tinne Gilis,"0-3, 4-11, 6-11, 6-11, ---, ---",Tinne Gilis
Vitagen Singapore Squash Open 2024,Women's,21 Nov 2024 • 13:45,Round 2,Sivasangari Subramaniam,Aifa Azman,"3-0, 11-6, 11-8, 11-8, ---, ---",Sivasangari Subramaniam
Vitagen Singapore Squash Open 2024,Women's,21 Nov 2024 • 12:00,Round 2,Grace Gear,Fayrouz Aboelkheir,"0-3, 8-11, 7-11, 8-11, ---, ---",Fayrouz Aboelkheir
Vitagen Singapore Squash Open 2024,Women's,21 Nov 2024 • 18:45,Round 2,Amina Orfi,Georgia Adderley,"3-0, 11-9, 13-11, 11-8, ---, ---",Amina Orfi
Vitagen Singapore Squash Open 2024,Women's,21 Nov 2024 • 17:00,Round 2,Hollie Naughton,Nele Gilis-Coll,"RET-, 6-11, 3-7, ---, ---, ---",Nele Gilis-Coll
Vitagen Singapore Squash Open 2024,Women's,-,Round 1,Hania El Hammamy,BYE,"---, ---, ---, ---, ---, ---",BYE
Vitagen Singapore Squash Open 2024,Women's,19 Nov 2024 • 13:45,Round 1,Kenzy Ayman,Aira Azman,"0-3, 5-11, 6-11, 10-12, ---, ---",Aira Azman
